dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
project_dim: 8
pq: 1
L: 4
chunks: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: fsq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-fsq_transplant_ImageNet_model_8_2_4_loss_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_8_2_4
loss_pre: loss_1.0_0.4
training_pre: fsq_refinement
saver_name_pre: fsq_refinement_ImageNet_model_8_2_4_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 1.3524, rec_loss 0.0284, lpips_loss 0.2275, g_loss 0.2033, disc_weight 0.4000, disc_adaptive_weight 4.8135, d_loss 2.4849, logits_real -0.1200, logits_fake -0.1994,
Train Epoch: [1/5] Iters:[19280/20018] gen_loss 0.2637, rec_loss 0.0346, lpips_loss 0.2138, g_loss 0.0034, disc_weight 0.4000, disc_adaptive_weight 4.6702, d_loss 0.4006, logits_real -0.0037, logits_fake -0.0029,
Train Epoch: [1/5] Iters:[19290/20018] gen_loss 0.2648, rec_loss 0.0347, lpips_loss 0.2132, g_loss 0.0037, disc_weight 0.4000, disc_adaptive_weight 4.6391, d_loss 0.4006, logits_real -0.0042, logits_fake -0.0034,
Train Epoch: [1/5] Iters:[19300/20018] gen_loss 0.2657, rec_loss 0.0340, lpips_loss 0.2120, g_loss 0.0043, disc_weight 0.4000, disc_adaptive_weight 4.6158, d_loss 0.4005, logits_real -0.0044, logits_fake -0.0040,
Train Epoch: [1/5] Iters:[19310/20018] gen_loss 0.2686, rec_loss 0.0342, lpips_loss 0.2140, g_loss 0.0044, disc_weight 0.4000, disc_adaptive_weight 4.6034, d_loss 0.4005, logits_real -0.0047, logits_fake -0.0043,
Train Epoch: [1/5] Iters:[19320/20018] gen_loss 0.2696, rec_loss 0.0342, lpips_loss 0.2156, g_loss 0.0041, disc_weight 0.4000, disc_adaptive_weight 4.7839, d_loss 0.4005, logits_real -0.0046, logits_fake -0.0041,
Train Epoch: [1/5] Iters:[19330/20018] gen_loss 0.2685, rec_loss 0.0338, lpips_loss 0.2152, g_loss 0.0039, disc_weight 0.4000, disc_adaptive_weight 4.8784, d_loss 0.4005, logits_real -0.0044, logits_fake -0.0039,
Train Epoch: [1/5] Iters:[19340/20018] gen_loss 0.2684, rec_loss 0.0339, lpips_loss 0.2152, g_loss 0.0040, disc_weight 0.4000, disc_adaptive_weight 4.7082, d_loss 0.4005, logits_real -0.0043, logits_fake -0.0040,
Train Epoch: [1/5] Iters:[19350/20018] gen_loss 0.2685, rec_loss 0.0340, lpips_loss 0.2158, g_loss 0.0040, disc_weight 0.4000, disc_adaptive_weight 4.6452, d_loss 0.4005, logits_real -0.0044, logits_fake -0.0040,
Train Epoch: [1/5] Iters:[19360/20018] gen_loss 0.2678, rec_loss 0.0335, lpips_loss 0.2143, g_loss 0.0043, disc_weight 0.4000, disc_adaptive_weight 4.6139, d_loss 0.4005, logits_real -0.0045, logits_fake -0.0042,
Train Epoch: [1/5] Iters:[19370/20018] gen_loss 0.2675, rec_loss 0.0329, lpips_loss 0.2127, g_loss 0.0047, disc_weight 0.4000, disc_adaptive_weight 4.6052, d_loss 0.4005, logits_real -0.0048, logits_fake -0.0045,
Train Epoch: [1/5] Iters:[19380/20018] gen_loss 0.2697, rec_loss 0.0336, lpips_loss 0.2138, g_loss 0.0048, disc_weight 0.4000, disc_adaptive_weight 4.5987, d_loss 0.4005, logits_real -0.0048, logits_fake -0.0046,
Train Epoch: [1/5] Iters:[19390/20018] gen_loss 0.2703, rec_loss 0.0339, lpips_loss 0.2146, g_loss 0.0046, disc_weight 0.4000, disc_adaptive_weight 4.6565, d_loss 0.4005, logits_real -0.0047, logits_fake -0.0044,
Train Epoch: [1/5] Iters:[19400/20018] gen_loss 0.2681, rec_loss 0.0340, lpips_loss 0.2141, g_loss 0.0042, disc_weight 0.4000, disc_adaptive_weight 4.6901, d_loss 0.4005, logits_real -0.0044, logits_fake -0.0040,
Train Epoch: [1/5] Iters:[19410/20018] gen_loss 0.2688, rec_loss 0.0341, lpips_loss 0.2144, g_loss 0.0042, disc_weight 0.4000, disc_adaptive_weight 4.7503, d_loss 0.4005, logits_real -0.0043, logits_fake -0.0039,
Train Epoch: [1/5] Iters:[19420/20018] gen_loss 0.2689, rec_loss 0.0347, lpips_loss 0.2141, g_loss 0.0043, disc_weight 0.4000, disc_adaptive_weight 4.6788, d_loss 0.4005, logits_real -0.0045, logits_fake -0.0042,
Train Epoch: [1/5] Iters:[19430/20018] gen_loss 0.2693, rec_loss 0.0349, lpips_loss 0.2145, g_loss 0.0045, disc_weight 0.4000, disc_adaptive_weight 4.4447, d_loss 0.4004, logits_real -0.0047, logits_fake -0.0045,
Train Epoch: [1/5] Iters:[19440/20018] gen_loss 0.2711, rec_loss 0.0349, lpips_loss 0.2144, g_loss 0.0050, disc_weight 0.4000, disc_adaptive_weight 4.4100, d_loss 0.4004, logits_real -0.0051, logits_fake -0.0050,
Train Epoch: [1/5] Iters:[19450/20018] gen_loss 0.2736, rec_loss 0.0348, lpips_loss 0.2148, g_loss 0.0053, disc_weight 0.4000, disc_adaptive_weight 4.5109, d_loss 0.4004, logits_real -0.0053, logits_fake -0.0052,
Train Epoch: [1/5] Iters:[19460/20018] gen_loss 0.2726, rec_loss 0.0349, lpips_loss 0.2149, g_loss 0.0051, disc_weight 0.4000, disc_adaptive_weight 4.5213, d_loss 0.4004, logits_real -0.0052, logits_fake -0.0051,
Train Epoch: [1/5] Iters:[19470/20018] gen_loss 0.2711, rec_loss 0.0349, lpips_loss 0.2158, g_loss 0.0046, disc_weight 0.4000, disc_adaptive_weight 4.4449, d_loss 0.4005, logits_real -0.0050, logits_fake -0.0046,
Train Epoch: [1/5] Iters:[19480/20018] gen_loss 0.2687, rec_loss 0.0343, lpips_loss 0.2154, g_loss 0.0040, disc_weight 0.4000, disc_adaptive_weight 4.7138, d_loss 0.4005, logits_real -0.0045, logits_fake -0.0040,
Train Epoch: [1/5] Iters:[19490/20018] gen_loss 0.2644, rec_loss 0.0340, lpips_loss 0.2152, g_loss 0.0031, disc_weight 0.4000, disc_adaptive_weight 4.7128, d_loss 0.4005, logits_real -0.0041, logits_fake -0.0035,
Train Epoch: [1/5] Iters:[19500/20018] gen_loss 0.2626, rec_loss 0.0341, lpips_loss 0.2144, g_loss 0.0030, disc_weight 0.4000, disc_adaptive_weight 4.6757, d_loss 0.4005, logits_real -0.0037, logits_fake -0.0032,
Train Epoch: [1/5] Iters:[19510/20018] gen_loss 0.2642, rec_loss 0.0343, lpips_loss 0.2147, g_loss 0.0032, disc_weight 0.4000, disc_adaptive_weight 4.6610, d_loss 0.4005, logits_real -0.0037, logits_fake -0.0033,
Train Epoch: [1/5] Iters:[19520/20018] gen_loss 0.2649, rec_loss 0.0343, lpips_loss 0.2137, g_loss 0.0034, disc_weight 0.4000, disc_adaptive_weight 4.8025, d_loss 0.4005, logits_real -0.0039, logits_fake -0.0036,
Train Epoch: [1/5] Iters:[19530/20018] gen_loss 0.2668, rec_loss 0.0345, lpips_loss 0.2132, g_loss 0.0039, disc_weight 0.4000, disc_adaptive_weight 4.8321, d_loss 0.4005, logits_real -0.0042, logits_fake -0.0038,
Train Epoch: [1/5] Iters:[19540/20018] gen_loss 0.2680, rec_loss 0.0348, lpips_loss 0.2137, g_loss 0.0039, disc_weight 0.4000, disc_adaptive_weight 4.9893, d_loss 0.4005, logits_real -0.0042, logits_fake -0.0036,
Train Epoch: [1/5] Iters:[19550/20018] gen_loss 0.2666, rec_loss 0.0347, lpips_loss 0.2147, g_loss 0.0034, disc_weight 0.4000, disc_adaptive_weight 5.0284, d_loss 0.4006, logits_real -0.0041, logits_fake -0.0032,
Train Epoch: [1/5] Iters:[19560/20018] gen_loss 0.2636, rec_loss 0.0348, lpips_loss 0.2152, g_loss 0.0026, disc_weight 0.4000, disc_adaptive_weight 4.9733, d_loss 0.4006, logits_real -0.0035, logits_fake -0.0026,
Train Epoch: [1/5] Iters:[19570/20018] gen_loss 0.2637, rec_loss 0.0354, lpips_loss 0.2161, g_loss 0.0024, disc_weight 0.4000, disc_adaptive_weight 4.9180, d_loss 0.4006, logits_real -0.0032, logits_fake -0.0022,
Train Epoch: [1/5] Iters:[19580/20018] gen_loss 0.2623, rec_loss 0.0351, lpips_loss 0.2167, g_loss 0.0021, disc_weight 0.4000, disc_adaptive_weight 4.9280, d_loss 0.4006, logits_real -0.0030, logits_fake -0.0023,
Train Epoch: [1/5] Iters:[19590/20018] gen_loss 0.2638, rec_loss 0.0354, lpips_loss 0.2166, g_loss 0.0023, disc_weight 0.4000, disc_adaptive_weight 5.0017, d_loss 0.4006, logits_real -0.0030, logits_fake -0.0024,
Train Epoch: [1/5] Iters:[19600/20018] gen_loss 0.2645, rec_loss 0.0358, lpips_loss 0.2160, g_loss 0.0026, disc_weight 0.4000, disc_adaptive_weight 4.9359, d_loss 0.4005, logits_real -0.0034, logits_fake -0.0027,
Train Epoch: [1/5] Iters:[19610/20018] gen_loss 0.2660, rec_loss 0.0351, lpips_loss 0.2160, g_loss 0.0031, disc_weight 0.4000, disc_adaptive_weight 4.9496, d_loss 0.4005, logits_real -0.0039, logits_fake -0.0032,
Train Epoch: [1/5] Iters:[19620/20018] gen_loss 0.2662, rec_loss 0.0345, lpips_loss 0.2158, g_loss 0.0033, disc_weight 0.4000, disc_adaptive_weight 4.9310, d_loss 0.4005, logits_real -0.0042, logits_fake -0.0035,
Train Epoch: [1/5] Iters:[19630/20018] gen_loss 0.2671, rec_loss 0.0343, lpips_loss 0.2156, g_loss 0.0036, disc_weight 0.4000, disc_adaptive_weight 4.7581, d_loss 0.4005, logits_real -0.0042, logits_fake -0.0036,
Train Epoch: [1/5] Iters:[19640/20018] gen_loss 0.2674, rec_loss 0.0333, lpips_loss 0.2147, g_loss 0.0041, disc_weight 0.4000, disc_adaptive_weight 4.7220, d_loss 0.4004, logits_real -0.0044, logits_fake -0.0041,
Train Epoch: [1/5] Iters:[19650/20018] gen_loss 0.2706, rec_loss 0.0324, lpips_loss 0.2143, g_loss 0.0048, disc_weight 0.4000, disc_adaptive_weight 4.8716, d_loss 0.4004, logits_real -0.0050, logits_fake -0.0047,
Train Epoch: [1/5] Iters:[19660/20018] gen_loss 0.2709, rec_loss 0.0320, lpips_loss 0.2130, g_loss 0.0053, disc_weight 0.4000, disc_adaptive_weight 4.8216, d_loss 0.4004, logits_real -0.0054, logits_fake -0.0053,
Train Epoch: [1/5] Iters:[19670/20018] gen_loss 0.2735, rec_loss 0.0319, lpips_loss 0.2136, g_loss 0.0058, disc_weight 0.4000, disc_adaptive_weight 4.7735, d_loss 0.4004, logits_real -0.0059, logits_fake -0.0058,
Train Epoch: [1/5] Iters:[19680/20018] gen_loss 0.2777, rec_loss 0.0330, lpips_loss 0.2155, g_loss 0.0061, disc_weight 0.4000, disc_adaptive_weight 4.7673, d_loss 0.4004, logits_real -0.0062, logits_fake -0.0062,
Train Epoch: [1/5] Iters:[19690/20018] gen_loss 0.2785, rec_loss 0.0335, lpips_loss 0.2161, g_loss 0.0062, disc_weight 0.4000, disc_adaptive_weight 4.6654, d_loss 0.4004, logits_real -0.0062, logits_fake -0.0062,
Train Epoch: [1/5] Iters:[19700/20018] gen_loss 0.2767, rec_loss 0.0342, lpips_loss 0.2159, g_loss 0.0059, disc_weight 0.4000, disc_adaptive_weight 4.5150, d_loss 0.4004, logits_real -0.0058, logits_fake -0.0059,
Train Epoch: [1/5] Iters:[19710/20018] gen_loss 0.2762, rec_loss 0.0347, lpips_loss 0.2161, g_loss 0.0056, disc_weight 0.4000, disc_adaptive_weight 4.5492, d_loss 0.4004, logits_real -0.0056, logits_fake -0.0055,
Train Epoch: [1/5] Iters:[19720/20018] gen_loss 0.2745, rec_loss 0.0352, lpips_loss 0.2158, g_loss 0.0051, disc_weight 0.4000, disc_adaptive_weight 4.6440, d_loss 0.4004, logits_real -0.0051, logits_fake -0.0052,
Train Epoch: [1/5] Iters:[19730/20018] gen_loss 0.2694, rec_loss 0.0343, lpips_loss 0.2134, g_loss 0.0047, disc_weight 0.4000, disc_adaptive_weight 4.5727, d_loss 0.4004, logits_real -0.0049, logits_fake -0.0048,
Train Epoch: [1/5] Iters:[19740/20018] gen_loss 0.2680, rec_loss 0.0342, lpips_loss 0.2134, g_loss 0.0046, disc_weight 0.4000, disc_adaptive_weight 4.5019, d_loss 0.4005, logits_real -0.0050, logits_fake -0.0046,
Train Epoch: [1/5] Iters:[19750/20018] gen_loss 0.2675, rec_loss 0.0342, lpips_loss 0.2138, g_loss 0.0043, disc_weight 0.4000, disc_adaptive_weight 4.5407, d_loss 0.4005, logits_real -0.0048, logits_fake -0.0044,
Train Epoch: [1/5] Iters:[19760/20018] gen_loss 0.2668, rec_loss 0.0341, lpips_loss 0.2144, g_loss 0.0041, disc_weight 0.4000, disc_adaptive_weight 4.5012, d_loss 0.4005, logits_real -0.0045, logits_fake -0.0042,
Train Epoch: [1/5] Iters:[19770/20018] gen_loss 0.2655, rec_loss 0.0338, lpips_loss 0.2139, g_loss 0.0040, disc_weight 0.4000, disc_adaptive_weight 4.4331, d_loss 0.4005, logits_real -0.0042, logits_fake -0.0039,
Train Epoch: [1/5] Iters:[19780/20018] gen_loss 0.2653, rec_loss 0.0340, lpips_loss 0.2143, g_loss 0.0039, disc_weight 0.4000, disc_adaptive_weight 4.4080, d_loss 0.4005, logits_real -0.0039, logits_fake -0.0036,
Train Epoch: [1/5] Iters:[19790/20018] gen_loss 0.2639, rec_loss 0.0338, lpips_loss 0.2139, g_loss 0.0037, disc_weight 0.4000, disc_adaptive_weight 4.4573, d_loss 0.4004, logits_real -0.0036, logits_fake -0.0035,
Train Epoch: [1/5] Iters:[19800/20018] gen_loss 0.2652, rec_loss 0.0341, lpips_loss 0.2144, g_loss 0.0036, disc_weight 0.4000, disc_adaptive_weight 4.8160, d_loss 0.4005, logits_real -0.0036, logits_fake -0.0034,
Train Epoch: [1/5] Iters:[19810/20018] gen_loss 0.2655, rec_loss 0.0345, lpips_loss 0.2144, g_loss 0.0035, disc_weight 0.4000, disc_adaptive_weight 4.9029, d_loss 0.4004, logits_real -0.0035, logits_fake -0.0033,
Train Epoch: [1/5] Iters:[19820/20018] gen_loss 0.2653, rec_loss 0.0346, lpips_loss 0.2148, g_loss 0.0032, disc_weight 0.4000, disc_adaptive_weight 5.0059, d_loss 0.4005, logits_real -0.0035, logits_fake -0.0031,
Train Epoch: [1/5] Iters:[19830/20018] gen_loss 0.2652, rec_loss 0.0348, lpips_loss 0.2148, g_loss 0.0031, disc_weight 0.4000, disc_adaptive_weight 5.1581, d_loss 0.4006, logits_real -0.0037, logits_fake -0.0029,
Train Epoch: [1/5] Iters:[19840/20018] gen_loss 0.2641, rec_loss 0.0352, lpips_loss 0.2153, g_loss 0.0026, disc_weight 0.4000, disc_adaptive_weight 5.3309, d_loss 0.4006, logits_real -0.0035, logits_fake -0.0024,
Train Epoch: [1/5] Iters:[19850/20018] gen_loss 0.2601, rec_loss 0.0344, lpips_loss 0.2146, g_loss 0.0023, disc_weight 0.4000, disc_adaptive_weight 5.0288, d_loss 0.4006, logits_real -0.0031, logits_fake -0.0021,
Train Epoch: [1/5] Iters:[19860/20018] gen_loss 0.2585, rec_loss 0.0343, lpips_loss 0.2145, g_loss 0.0019, disc_weight 0.4000, disc_adaptive_weight 5.0181, d_loss 0.4006, logits_real -0.0029, logits_fake -0.0020,
Train Epoch: [1/5] Iters:[19870/20018] gen_loss 0.2582, rec_loss 0.0341, lpips_loss 0.2144, g_loss 0.0019, disc_weight 0.4000, disc_adaptive_weight 5.1174, d_loss 0.4006, logits_real -0.0028, logits_fake -0.0020,
Train Epoch: [1/5] Iters:[19880/20018] gen_loss 0.2580, rec_loss 0.0340, lpips_loss 0.2150, g_loss 0.0017, disc_weight 0.4000, disc_adaptive_weight 5.0379, d_loss 0.4005, logits_real -0.0026, logits_fake -0.0019,
Train Epoch: [1/5] Iters:[19890/20018] gen_loss 0.2584, rec_loss 0.0339, lpips_loss 0.2147, g_loss 0.0019, disc_weight 0.4000, disc_adaptive_weight 4.9242, d_loss 0.4005, logits_real -0.0025, logits_fake -0.0020,
Train Epoch: [1/5] Iters:[19900/20018] gen_loss 0.2592, rec_loss 0.0345, lpips_loss 0.2144, g_loss 0.0020, disc_weight 0.4000, disc_adaptive_weight 4.8922, d_loss 0.4005, logits_real -0.0025, logits_fake -0.0022,
Train Epoch: [1/5] Iters:[19910/20018] gen_loss 0.2592, rec_loss 0.0342, lpips_loss 0.2138, g_loss 0.0022, disc_weight 0.4000, disc_adaptive_weight 4.9664, d_loss 0.4005, logits_real -0.0024, logits_fake -0.0021,
Train Epoch: [1/5] Iters:[19920/20018] gen_loss 0.2588, rec_loss 0.0341, lpips_loss 0.2136, g_loss 0.0022, disc_weight 0.4000, disc_adaptive_weight 4.9194, d_loss 0.4004, logits_real -0.0023, logits_fake -0.0021,
Train Epoch: [1/5] Iters:[19930/20018] gen_loss 0.2566, rec_loss 0.0337, lpips_loss 0.2114, g_loss 0.0022, disc_weight 0.4000, disc_adaptive_weight 5.1026, d_loss 0.4004, logits_real -0.0024, logits_fake -0.0022,
Train Epoch: [1/5] Iters:[19940/20018] gen_loss 0.2571, rec_loss 0.0334, lpips_loss 0.2124, g_loss 0.0023, disc_weight 0.4000, disc_adaptive_weight 4.8409, d_loss 0.4005, logits_real -0.0025, logits_fake -0.0022,
Train Epoch: [1/5] Iters:[19950/20018] gen_loss 0.2580, rec_loss 0.0330, lpips_loss 0.2136, g_loss 0.0023, disc_weight 0.4000, disc_adaptive_weight 4.8263, d_loss 0.4005, logits_real -0.0025, logits_fake -0.0021,
Train Epoch: [1/5] Iters:[19960/20018] gen_loss 0.2582, rec_loss 0.0344, lpips_loss 0.2147, g_loss 0.0019, disc_weight 0.4000, disc_adaptive_weight 4.7565, d_loss 0.4005, logits_real -0.0024, logits_fake -0.0020,
Train Epoch: [1/5] Iters:[19970/20018] gen_loss 0.2576, rec_loss 0.0344, lpips_loss 0.2147, g_loss 0.0019, disc_weight 0.4000, disc_adaptive_weight 4.6104, d_loss 0.4005, logits_real -0.0025, logits_fake -0.0022,
Train Epoch: [1/5] Iters:[19980/20018] gen_loss 0.2605, rec_loss 0.0348, lpips_loss 0.2164, g_loss 0.0020, disc_weight 0.4000, disc_adaptive_weight 4.5444, d_loss 0.4005, logits_real -0.0026, logits_fake -0.0023,
Train Epoch: [1/5] Iters:[19990/20018] gen_loss 0.2609, rec_loss 0.0349, lpips_loss 0.2151, g_loss 0.0024, disc_weight 0.4000, disc_adaptive_weight 4.6077, d_loss 0.4004, logits_real -0.0031, logits_fake -0.0030,
Train Epoch: [1/5] Iters:[20000/20018] gen_loss 0.2657, rec_loss 0.0350, lpips_loss 0.2144, g_loss 0.0033, disc_weight 0.4000, disc_adaptive_weight 4.7981, d_loss 0.4004, logits_real -0.0039, logits_fake -0.0039,
Train Epoch: [1/5] Iters:[20010/20018] gen_loss 0.2683, rec_loss 0.0341, lpips_loss 0.2134, g_loss 0.0042, disc_weight 0.4000, disc_adaptive_weight 4.8042, d_loss 0.4004, logits_real -0.0047, logits_fake -0.0046,
Loading pretrained model LPIPS from /home/sunset/.cache/torch/hub/pyiqa/LPIPS_v0.1_alex-df73285e.pth
PSNR:23.414198553466797  SSIM:0.5979141039562226  LPIPS:0.13614453528642653
Saved .npz file to /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Refinement/ImageNet/fsq_refinement_8_4_1.npz [shape=(50000, 256, 256, 3)].
Loading pretrained model LPIPS from /home/sunset/.cache/torch/hub/pyiqa/LPIPS_v0.1_alex-df73285e.pth
epoch:2, cur_lr:0.000010
Train Epoch: [2/5] Iters:[10/20018] gen_loss 0.2602, rec_loss 0.0310, lpips_loss 0.2043, g_loss 0.0060, disc_weight 0.4000, disc_adaptive_weight 4.1661, d_loss 0.4004, logits_real -0.0058, logits_fake -0.0053,
Train Epoch: [2/5] Iters:[20/20018] gen_loss 0.2672, rec_loss 0.0329, lpips_loss 0.2090, g_loss 0.0055, disc_weight 0.4000, disc_adaptive_weight 4.5302, d_loss 0.4005, logits_real -0.0058, logits_fake -0.0052,
Train Epoch: [2/5] Iters:[30/20018] gen_loss 0.2699, rec_loss 0.0339, lpips_loss 0.2111, g_loss 0.0053, disc_weight 0.4000, disc_adaptive_weight 4.6728, d_loss 0.4006, logits_real -0.0057, logits_fake -0.0048,
Train Epoch: [2/5] Iters:[40/20018] gen_loss 0.2717, rec_loss 0.0346, lpips_loss 0.2132, g_loss 0.0051, disc_weight 0.4000, disc_adaptive_weight 4.6735, d_loss 0.4005, logits_real -0.0055, logits_fake -0.0047,
Train Epoch: [2/5] Iters:[50/20018] gen_loss 0.2710, rec_loss 0.0346, lpips_loss 0.2131, g_loss 0.0048, disc_weight 0.4000, disc_adaptive_weight 4.8639, d_loss 0.4005, logits_real -0.0051, logits_fake -0.0044,
Train Epoch: [2/5] Iters:[60/20018] gen_loss 0.2730, rec_loss 0.0359, lpips_loss 0.2159, g_loss 0.0042, disc_weight 0.4000, disc_adaptive_weight 5.0125, d_loss 0.4005, logits_real -0.0048, logits_fake -0.0040,
Train Epoch: [2/5] Iters:[70/20018] gen_loss 0.2714, rec_loss 0.0356, lpips_loss 0.2164, g_loss 0.0038, disc_weight 0.4000, disc_adaptive_weight 4.9801, d_loss 0.4005, logits_real -0.0044, logits_fake -0.0038,
Train Epoch: [2/5] Iters:[80/20018] gen_loss 0.2699, rec_loss 0.0354, lpips_loss 0.2160, g_loss 0.0036, disc_weight 0.4000, disc_adaptive_weight 5.0818, d_loss 0.4004, logits_real -0.0041, logits_fake -0.0038,
Train Epoch: [2/5] Iters:[90/20018] gen_loss 0.2687, rec_loss 0.0352, lpips_loss 0.2146, g_loss 0.0035, disc_weight 0.4000, disc_adaptive_weight 5.3557, d_loss 0.4005, logits_real -0.0040, logits_fake -0.0035,
Train Epoch: [2/5] Iters:[100/20018] gen_loss 0.2695, rec_loss 0.0353, lpips_loss 0.2153, g_loss 0.0036, disc_weight 0.4000, disc_adaptive_weight 5.2272, d_loss 0.4005, logits_real -0.0043, logits_fake -0.0037,
Train Epoch: [2/5] Iters:[110/20018] gen_loss 0.2704, rec_loss 0.0351, lpips_loss 0.2150, g_loss 0.0039, disc_weight 0.4000, disc_adaptive_weight 5.2039, d_loss 0.4005, logits_real -0.0046, logits_fake -0.0039,
Train Epoch: [2/5] Iters:[120/20018] gen_loss 0.2711, rec_loss 0.0347, lpips_loss 0.2147, g_loss 0.0043, disc_weight 0.4000, disc_adaptive_weight 5.1313, d_loss 0.4005, logits_real -0.0050, logits_fake -0.0042,
Train Epoch: [2/5] Iters:[130/20018] gen_loss 0.2722, rec_loss 0.0345, lpips_loss 0.2156, g_loss 0.0045, disc_weight 0.4000, disc_adaptive_weight 4.9602, d_loss 0.4005, logits_real -0.0050, logits_fake -0.0044,
Train Epoch: [2/5] Iters:[140/20018] gen_loss 0.2735, rec_loss 0.0348, lpips_loss 0.2165, g_loss 0.0047, disc_weight 0.4000, disc_adaptive_weight 4.7226, d_loss 0.4005, logits_real -0.0051, logits_fake -0.0047,
Train Epoch: [2/5] Iters:[150/20018] gen_loss 0.2731, rec_loss 0.0348, lpips_loss 0.2159, g_loss 0.0047, disc_weight 0.4000, disc_adaptive_weight 4.7528, d_loss 0.4004, logits_real -0.0051, logits_fake -0.0048,
Train Epoch: [2/5] Iters:[160/20018] gen_loss 0.2707, rec_loss 0.0339, lpips_loss 0.2150, g_loss 0.0047, disc_weight 0.4000, disc_adaptive_weight 4.6448, d_loss 0.4004, logits_real -0.0049, logits_fake -0.0046,
Train Epoch: [2/5] Iters:[170/20018] gen_loss 0.2687, rec_loss 0.0340, lpips_loss 0.2148, g_loss 0.0042, disc_weight 0.4000, disc_adaptive_weight 4.6334, d_loss 0.4004, logits_real -0.0044, logits_fake -0.0044,
Train Epoch: [2/5] Iters:[180/20018] gen_loss 0.2676, rec_loss 0.0340, lpips_loss 0.2144, g_loss 0.0041, disc_weight 0.4000, disc_adaptive_weight 4.6780, d_loss 0.4004, logits_real -0.0044, logits_fake -0.0042,
Train Epoch: [2/5] Iters:[190/20018] gen_loss 0.2643, rec_loss 0.0332, lpips_loss 0.2136, g_loss 0.0038, disc_weight 0.4000, disc_adaptive_weight 4.5548, d_loss 0.4004, logits_real -0.0042, logits_fake -0.0041,
Train Epoch: [2/5] Iters:[200/20018] gen_loss 0.2645, rec_loss 0.0329, lpips_loss 0.2140, g_loss 0.0040, disc_weight 0.4000, disc_adaptive_weight 4.3554, d_loss 0.4004, logits_real -0.0044, logits_fake -0.0042,
Train Epoch: [2/5] Iters:[210/20018] gen_loss 0.2676, rec_loss 0.0333, lpips_loss 0.2151, g_loss 0.0044, disc_weight 0.4000, disc_adaptive_weight 4.3833, d_loss 0.4004, logits_real -0.0047, logits_fake -0.0047,
Train Epoch: [2/5] Iters:[220/20018] gen_loss 0.2707, rec_loss 0.0333, lpips_loss 0.2147, g_loss 0.0050, disc_weight 0.4000, disc_adaptive_weight 4.4719, d_loss 0.4004, logits_real -0.0053, logits_fake -0.0052,
Train Epoch: [2/5] Iters:[230/20018] gen_loss 0.2720, rec_loss 0.0334, lpips_loss 0.2149, g_loss 0.0053, disc_weight 0.4000, disc_adaptive_weight 4.4022, d_loss 0.4004, logits_real -0.0054, logits_fake -0.0054,
Train Epoch: [2/5] Iters:[240/20018] gen_loss 0.2761, rec_loss 0.0341, lpips_loss 0.2157, g_loss 0.0056, disc_weight 0.4000, disc_adaptive_weight 4.6377, d_loss 0.4004, logits_real -0.0056, logits_fake -0.0056,
Train Epoch: [2/5] Iters:[250/20018] gen_loss 0.2796, rec_loss 0.0349, lpips_loss 0.2161, g_loss 0.0056, disc_weight 0.4000, disc_adaptive_weight 5.1055, d_loss 0.4004, logits_real -0.0055, logits_fake -0.0054,
