dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 256
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
chunks: 4
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: mmd_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-mmd_vq_transplant_False_ImageNet_model_256_8_4_1_loss_1.0_0.2_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_256_8_4_1
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: mmd_vq_refinement_False
saver_name_pre: mmd_vq_refinement_False_ImageNet_model_256_8_4_1_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.1838, rec_loss 0.0210, lpips_loss 0.1773, g_loss -0.0068, disc_weight 0.4000, disc_adaptive_weight 3.7221, d_loss 2.3982, logits_real 0.0509, logits_fake 0.0029,
Train Epoch: [1/5] Iters:[6890/20018] gen_loss 0.2246, rec_loss 0.0242, lpips_loss 0.1752, g_loss 0.0055, disc_weight 0.4000, disc_adaptive_weight 4.5249, d_loss 0.4013, logits_real -0.0062, logits_fake -0.0054,
Train Epoch: [1/5] Iters:[6900/20018] gen_loss 0.2255, rec_loss 0.0248, lpips_loss 0.1746, g_loss 0.0058, disc_weight 0.4000, disc_adaptive_weight 4.5411, d_loss 0.4013, logits_real -0.0065, logits_fake -0.0057,
Train Epoch: [1/5] Iters:[6910/20018] gen_loss 0.2265, rec_loss 0.0248, lpips_loss 0.1743, g_loss 0.0058, disc_weight 0.4000, disc_adaptive_weight 4.7740, d_loss 0.4013, logits_real -0.0066, logits_fake -0.0057,
Train Epoch: [1/5] Iters:[6920/20018] gen_loss 0.2262, rec_loss 0.0246, lpips_loss 0.1748, g_loss 0.0056, disc_weight 0.4000, disc_adaptive_weight 4.7330, d_loss 0.4013, logits_real -0.0064, logits_fake -0.0055,
Train Epoch: [1/5] Iters:[6930/20018] gen_loss 0.2263, rec_loss 0.0255, lpips_loss 0.1758, g_loss 0.0055, disc_weight 0.4000, disc_adaptive_weight 4.5160, d_loss 0.4013, logits_real -0.0063, logits_fake -0.0054,
Train Epoch: [1/5] Iters:[6940/20018] gen_loss 0.2260, rec_loss 0.0257, lpips_loss 0.1768, g_loss 0.0053, disc_weight 0.4000, disc_adaptive_weight 4.4096, d_loss 0.4013, logits_real -0.0063, logits_fake -0.0053,
Train Epoch: [1/5] Iters:[6950/20018] gen_loss 0.2258, rec_loss 0.0253, lpips_loss 0.1773, g_loss 0.0053, disc_weight 0.4000, disc_adaptive_weight 4.4049, d_loss 0.4013, logits_real -0.0061, logits_fake -0.0052,
Train Epoch: [1/5] Iters:[6960/20018] gen_loss 0.2255, rec_loss 0.0254, lpips_loss 0.1778, g_loss 0.0052, disc_weight 0.4000, disc_adaptive_weight 4.3400, d_loss 0.4013, logits_real -0.0060, logits_fake -0.0051,
Train Epoch: [1/5] Iters:[6970/20018] gen_loss 0.2242, rec_loss 0.0252, lpips_loss 0.1768, g_loss 0.0054, disc_weight 0.4000, disc_adaptive_weight 4.1724, d_loss 0.4013, logits_real -0.0061, logits_fake -0.0054,
Train Epoch: [1/5] Iters:[6980/20018] gen_loss 0.2250, rec_loss 0.0246, lpips_loss 0.1762, g_loss 0.0056, disc_weight 0.4000, disc_adaptive_weight 4.3230, d_loss 0.4013, logits_real -0.0065, logits_fake -0.0056,
Train Epoch: [1/5] Iters:[6990/20018] gen_loss 0.2269, rec_loss 0.0247, lpips_loss 0.1753, g_loss 0.0060, disc_weight 0.4000, disc_adaptive_weight 4.4818, d_loss 0.4012, logits_real -0.0066, logits_fake -0.0059,
Train Epoch: [1/5] Iters:[7000/20018] gen_loss 0.2288, rec_loss 0.0248, lpips_loss 0.1764, g_loss 0.0059, disc_weight 0.4000, disc_adaptive_weight 4.6577, d_loss 0.4012, logits_real -0.0066, logits_fake -0.0059,
Train Epoch: [1/5] Iters:[7010/20018] gen_loss 0.2298, rec_loss 0.0248, lpips_loss 0.1761, g_loss 0.0062, disc_weight 0.4000, disc_adaptive_weight 4.6538, d_loss 0.4012, logits_real -0.0068, logits_fake -0.0062,
Train Epoch: [1/5] Iters:[7020/20018] gen_loss 0.2336, rec_loss 0.0254, lpips_loss 0.1774, g_loss 0.0064, disc_weight 0.4000, disc_adaptive_weight 4.8484, d_loss 0.4013, logits_real -0.0070, logits_fake -0.0063,
Train Epoch: [1/5] Iters:[7030/20018] gen_loss 0.2348, rec_loss 0.0260, lpips_loss 0.1771, g_loss 0.0064, disc_weight 0.4000, disc_adaptive_weight 4.9310, d_loss 0.4013, logits_real -0.0070, logits_fake -0.0063,
Train Epoch: [1/5] Iters:[7040/20018] gen_loss 0.2360, rec_loss 0.0265, lpips_loss 0.1774, g_loss 0.0063, disc_weight 0.4000, disc_adaptive_weight 5.1031, d_loss 0.4013, logits_real -0.0069, logits_fake -0.0062,
Train Epoch: [1/5] Iters:[7050/20018] gen_loss 0.2348, rec_loss 0.0264, lpips_loss 0.1762, g_loss 0.0064, disc_weight 0.4000, disc_adaptive_weight 5.0615, d_loss 0.4013, logits_real -0.0069, logits_fake -0.0061,
Train Epoch: [1/5] Iters:[7060/20018] gen_loss 0.2330, rec_loss 0.0261, lpips_loss 0.1759, g_loss 0.0063, disc_weight 0.4000, disc_adaptive_weight 4.9136, d_loss 0.4013, logits_real -0.0068, logits_fake -0.0060,
Train Epoch: [1/5] Iters:[7070/20018] gen_loss 0.2316, rec_loss 0.0261, lpips_loss 0.1745, g_loss 0.0060, disc_weight 0.4000, disc_adaptive_weight 5.1022, d_loss 0.4013, logits_real -0.0066, logits_fake -0.0058,
Train Epoch: [1/5] Iters:[7080/20018] gen_loss 0.2303, rec_loss 0.0257, lpips_loss 0.1747, g_loss 0.0058, disc_weight 0.4000, disc_adaptive_weight 5.0883, d_loss 0.4013, logits_real -0.0063, logits_fake -0.0055,
Train Epoch: [1/5] Iters:[7090/20018] gen_loss 0.2278, rec_loss 0.0257, lpips_loss 0.1747, g_loss 0.0055, disc_weight 0.4000, disc_adaptive_weight 4.9533, d_loss 0.4013, logits_real -0.0062, logits_fake -0.0054,
Train Epoch: [1/5] Iters:[7100/20018] gen_loss 0.2283, rec_loss 0.0263, lpips_loss 0.1756, g_loss 0.0054, disc_weight 0.4000, disc_adaptive_weight 4.9028, d_loss 0.4013, logits_real -0.0061, logits_fake -0.0053,
Train Epoch: [1/5] Iters:[7110/20018] gen_loss 0.2304, rec_loss 0.0268, lpips_loss 0.1770, g_loss 0.0054, disc_weight 0.4000, disc_adaptive_weight 4.8707, d_loss 0.4012, logits_real -0.0062, logits_fake -0.0055,
Train Epoch: [1/5] Iters:[7120/20018] gen_loss 0.2295, rec_loss 0.0268, lpips_loss 0.1776, g_loss 0.0055, disc_weight 0.4000, disc_adaptive_weight 4.5729, d_loss 0.4012, logits_real -0.0063, logits_fake -0.0055,
Train Epoch: [1/5] Iters:[7130/20018] gen_loss 0.2276, rec_loss 0.0268, lpips_loss 0.1777, g_loss 0.0054, disc_weight 0.4000, disc_adaptive_weight 4.3005, d_loss 0.4012, logits_real -0.0064, logits_fake -0.0058,
Train Epoch: [1/5] Iters:[7140/20018] gen_loss 0.2287, rec_loss 0.0271, lpips_loss 0.1788, g_loss 0.0056, disc_weight 0.4000, disc_adaptive_weight 4.1134, d_loss 0.4012, logits_real -0.0065, logits_fake -0.0057,
Train Epoch: [1/5] Iters:[7150/20018] gen_loss 0.2270, rec_loss 0.0266, lpips_loss 0.1780, g_loss 0.0056, disc_weight 0.4000, disc_adaptive_weight 3.9443, d_loss 0.4012, logits_real -0.0064, logits_fake -0.0058,
Train Epoch: [1/5] Iters:[7160/20018] gen_loss 0.2262, rec_loss 0.0267, lpips_loss 0.1775, g_loss 0.0054, disc_weight 0.4000, disc_adaptive_weight 4.0640, d_loss 0.4012, logits_real -0.0063, logits_fake -0.0055,
Train Epoch: [1/5] Iters:[7170/20018] gen_loss 0.2275, rec_loss 0.0264, lpips_loss 0.1777, g_loss 0.0055, disc_weight 0.4000, disc_adaptive_weight 4.2663, d_loss 0.4013, logits_real -0.0065, logits_fake -0.0055,
Train Epoch: [1/5] Iters:[7180/20018] gen_loss 0.2290, rec_loss 0.0265, lpips_loss 0.1780, g_loss 0.0055, disc_weight 0.4000, disc_adaptive_weight 4.4090, d_loss 0.4013, logits_real -0.0064, logits_fake -0.0054,
Train Epoch: [1/5] Iters:[7190/20018] gen_loss 0.2285, rec_loss 0.0261, lpips_loss 0.1777, g_loss 0.0055, disc_weight 0.4000, disc_adaptive_weight 4.4896, d_loss 0.4012, logits_real -0.0063, logits_fake -0.0054,
Train Epoch: [1/5] Iters:[7200/20018] gen_loss 0.2287, rec_loss 0.0260, lpips_loss 0.1775, g_loss 0.0056, disc_weight 0.4000, disc_adaptive_weight 4.5431, d_loss 0.4012, logits_real -0.0064, logits_fake -0.0055,
Train Epoch: [1/5] Iters:[7210/20018] gen_loss 0.2279, rec_loss 0.0256, lpips_loss 0.1770, g_loss 0.0058, disc_weight 0.4000, disc_adaptive_weight 4.4176, d_loss 0.4013, logits_real -0.0065, logits_fake -0.0056,
Train Epoch: [1/5] Iters:[7220/20018] gen_loss 0.2257, rec_loss 0.0256, lpips_loss 0.1768, g_loss 0.0054, disc_weight 0.4000, disc_adaptive_weight 4.3715, d_loss 0.4012, logits_real -0.0063, logits_fake -0.0055,
Train Epoch: [1/5] Iters:[7230/20018] gen_loss 0.2246, rec_loss 0.0259, lpips_loss 0.1763, g_loss 0.0051, disc_weight 0.4000, disc_adaptive_weight 4.5300, d_loss 0.4012, logits_real -0.0059, logits_fake -0.0053,
Train Epoch: [1/5] Iters:[7240/20018] gen_loss 0.2236, rec_loss 0.0257, lpips_loss 0.1751, g_loss 0.0050, disc_weight 0.4000, disc_adaptive_weight 4.6973, d_loss 0.4013, logits_real -0.0060, logits_fake -0.0051,
Train Epoch: [1/5] Iters:[7250/20018] gen_loss 0.2234, rec_loss 0.0259, lpips_loss 0.1757, g_loss 0.0048, disc_weight 0.4000, disc_adaptive_weight 4.6646, d_loss 0.4013, logits_real -0.0058, logits_fake -0.0048,
Train Epoch: [1/5] Iters:[7260/20018] gen_loss 0.2240, rec_loss 0.0266, lpips_loss 0.1765, g_loss 0.0044, disc_weight 0.4000, disc_adaptive_weight 4.7147, d_loss 0.4013, logits_real -0.0054, logits_fake -0.0045,
Train Epoch: [1/5] Iters:[7270/20018] gen_loss 0.2245, rec_loss 0.0267, lpips_loss 0.1768, g_loss 0.0045, disc_weight 0.4000, disc_adaptive_weight 4.6432, d_loss 0.4013, logits_real -0.0053, logits_fake -0.0045,
Train Epoch: [1/5] Iters:[7280/20018] gen_loss 0.2233, rec_loss 0.0262, lpips_loss 0.1767, g_loss 0.0045, disc_weight 0.4000, disc_adaptive_weight 4.5469, d_loss 0.4013, logits_real -0.0054, logits_fake -0.0044,
Train Epoch: [1/5] Iters:[7290/20018] gen_loss 0.2230, rec_loss 0.0268, lpips_loss 0.1782, g_loss 0.0041, disc_weight 0.4000, disc_adaptive_weight 4.4485, d_loss 0.4013, logits_real -0.0050, logits_fake -0.0041,
Train Epoch: [1/5] Iters:[7300/20018] gen_loss 0.2218, rec_loss 0.0266, lpips_loss 0.1777, g_loss 0.0038, disc_weight 0.4000, disc_adaptive_weight 4.6017, d_loss 0.4013, logits_real -0.0047, logits_fake -0.0038,
Train Epoch: [1/5] Iters:[7310/20018] gen_loss 0.2214, rec_loss 0.0260, lpips_loss 0.1770, g_loss 0.0038, disc_weight 0.4000, disc_adaptive_weight 4.8482, d_loss 0.4012, logits_real -0.0046, logits_fake -0.0039,
Train Epoch: [1/5] Iters:[7320/20018] gen_loss 0.2202, rec_loss 0.0260, lpips_loss 0.1760, g_loss 0.0038, disc_weight 0.4000, disc_adaptive_weight 4.8098, d_loss 0.4012, logits_real -0.0047, logits_fake -0.0040,
Train Epoch: [1/5] Iters:[7330/20018] gen_loss 0.2204, rec_loss 0.0258, lpips_loss 0.1754, g_loss 0.0040, disc_weight 0.4000, disc_adaptive_weight 4.8634, d_loss 0.4012, logits_real -0.0049, logits_fake -0.0043,
Train Epoch: [1/5] Iters:[7340/20018] gen_loss 0.2216, rec_loss 0.0253, lpips_loss 0.1749, g_loss 0.0046, disc_weight 0.4000, disc_adaptive_weight 4.7185, d_loss 0.4012, logits_real -0.0053, logits_fake -0.0048,
Train Epoch: [1/5] Iters:[7350/20018] gen_loss 0.2247, rec_loss 0.0258, lpips_loss 0.1755, g_loss 0.0049, disc_weight 0.4000, disc_adaptive_weight 4.8778, d_loss 0.4012, logits_real -0.0057, logits_fake -0.0051,
Train Epoch: [1/5] Iters:[7360/20018] gen_loss 0.2263, rec_loss 0.0264, lpips_loss 0.1765, g_loss 0.0051, disc_weight 0.4000, disc_adaptive_weight 4.6458, d_loss 0.4012, logits_real -0.0060, logits_fake -0.0053,
Train Epoch: [1/5] Iters:[7370/20018] gen_loss 0.2274, rec_loss 0.0262, lpips_loss 0.1770, g_loss 0.0053, disc_weight 0.4000, disc_adaptive_weight 4.6765, d_loss 0.4012, logits_real -0.0061, logits_fake -0.0053,
Train Epoch: [1/5] Iters:[7380/20018] gen_loss 0.2296, rec_loss 0.0268, lpips_loss 0.1789, g_loss 0.0053, disc_weight 0.4000, disc_adaptive_weight 4.6096, d_loss 0.4013, logits_real -0.0060, logits_fake -0.0050,
Train Epoch: [1/5] Iters:[7390/20018] gen_loss 0.2280, rec_loss 0.0270, lpips_loss 0.1790, g_loss 0.0048, disc_weight 0.4000, disc_adaptive_weight 4.6915, d_loss 0.4012, logits_real -0.0056, logits_fake -0.0047,
Train Epoch: [1/5] Iters:[7400/20018] gen_loss 0.2256, rec_loss 0.0266, lpips_loss 0.1783, g_loss 0.0048, disc_weight 0.4000, disc_adaptive_weight 4.3850, d_loss 0.4012, logits_real -0.0054, logits_fake -0.0047,
Train Epoch: [1/5] Iters:[7410/20018] gen_loss 0.2226, rec_loss 0.0261, lpips_loss 0.1772, g_loss 0.0043, disc_weight 0.4000, disc_adaptive_weight 4.4718, d_loss 0.4012, logits_real -0.0050, logits_fake -0.0043,
Train Epoch: [1/5] Iters:[7420/20018] gen_loss 0.2224, rec_loss 0.0260, lpips_loss 0.1772, g_loss 0.0042, disc_weight 0.4000, disc_adaptive_weight 4.5105, d_loss 0.4012, logits_real -0.0050, logits_fake -0.0042,
Train Epoch: [1/5] Iters:[7430/20018] gen_loss 0.2218, rec_loss 0.0257, lpips_loss 0.1764, g_loss 0.0043, disc_weight 0.4000, disc_adaptive_weight 4.5917, d_loss 0.4012, logits_real -0.0049, logits_fake -0.0042,
Train Epoch: [1/5] Iters:[7440/20018] gen_loss 0.2196, rec_loss 0.0252, lpips_loss 0.1751, g_loss 0.0044, disc_weight 0.4000, disc_adaptive_weight 4.3951, d_loss 0.4012, logits_real -0.0049, logits_fake -0.0042,
Train Epoch: [1/5] Iters:[7450/20018] gen_loss 0.2202, rec_loss 0.0252, lpips_loss 0.1755, g_loss 0.0044, disc_weight 0.4000, disc_adaptive_weight 4.4939, d_loss 0.4012, logits_real -0.0050, logits_fake -0.0043,
Train Epoch: [1/5] Iters:[7460/20018] gen_loss 0.2199, rec_loss 0.0253, lpips_loss 0.1759, g_loss 0.0043, disc_weight 0.4000, disc_adaptive_weight 4.4658, d_loss 0.4012, logits_real -0.0050, logits_fake -0.0041,
Train Epoch: [1/5] Iters:[7470/20018] gen_loss 0.2179, rec_loss 0.0253, lpips_loss 0.1753, g_loss 0.0039, disc_weight 0.4000, disc_adaptive_weight 4.5246, d_loss 0.4012, logits_real -0.0045, logits_fake -0.0036,
Train Epoch: [1/5] Iters:[7480/20018] gen_loss 0.2156, rec_loss 0.0255, lpips_loss 0.1754, g_loss 0.0035, disc_weight 0.4000, disc_adaptive_weight 4.3255, d_loss 0.4012, logits_real -0.0043, logits_fake -0.0034,
Train Epoch: [1/5] Iters:[7490/20018] gen_loss 0.2173, rec_loss 0.0261, lpips_loss 0.1769, g_loss 0.0032, disc_weight 0.4000, disc_adaptive_weight 4.5486, d_loss 0.4012, logits_real -0.0040, logits_fake -0.0032,
Train Epoch: [1/5] Iters:[7500/20018] gen_loss 0.2152, rec_loss 0.0256, lpips_loss 0.1759, g_loss 0.0028, disc_weight 0.4000, disc_adaptive_weight 4.8288, d_loss 0.4013, logits_real -0.0038, logits_fake -0.0028,
Train Epoch: [1/5] Iters:[7510/20018] gen_loss 0.2164, rec_loss 0.0256, lpips_loss 0.1760, g_loss 0.0030, disc_weight 0.4000, disc_adaptive_weight 4.8875, d_loss 0.4012, logits_real -0.0037, logits_fake -0.0029,
Train Epoch: [1/5] Iters:[7520/20018] gen_loss 0.2155, rec_loss 0.0255, lpips_loss 0.1759, g_loss 0.0029, disc_weight 0.4000, disc_adaptive_weight 4.7812, d_loss 0.4012, logits_real -0.0037, logits_fake -0.0031,
Train Epoch: [1/5] Iters:[7530/20018] gen_loss 0.2154, rec_loss 0.0253, lpips_loss 0.1753, g_loss 0.0030, disc_weight 0.4000, disc_adaptive_weight 4.8457, d_loss 0.4011, logits_real -0.0037, logits_fake -0.0031,
Train Epoch: [1/5] Iters:[7540/20018] gen_loss 0.2166, rec_loss 0.0256, lpips_loss 0.1759, g_loss 0.0031, disc_weight 0.4000, disc_adaptive_weight 4.9339, d_loss 0.4012, logits_real -0.0039, logits_fake -0.0031,
Train Epoch: [1/5] Iters:[7550/20018] gen_loss 0.2166, rec_loss 0.0258, lpips_loss 0.1762, g_loss 0.0030, disc_weight 0.4000, disc_adaptive_weight 4.9523, d_loss 0.4012, logits_real -0.0038, logits_fake -0.0030,
Train Epoch: [1/5] Iters:[7560/20018] gen_loss 0.2163, rec_loss 0.0257, lpips_loss 0.1764, g_loss 0.0030, disc_weight 0.4000, disc_adaptive_weight 4.8944, d_loss 0.4012, logits_real -0.0040, logits_fake -0.0032,
Train Epoch: [1/5] Iters:[7570/20018] gen_loss 0.2187, rec_loss 0.0261, lpips_loss 0.1777, g_loss 0.0031, disc_weight 0.4000, disc_adaptive_weight 4.8937, d_loss 0.4012, logits_real -0.0042, logits_fake -0.0032,
Train Epoch: [1/5] Iters:[7580/20018] gen_loss 0.2202, rec_loss 0.0260, lpips_loss 0.1782, g_loss 0.0032, disc_weight 0.4000, disc_adaptive_weight 5.0345, d_loss 0.4012, logits_real -0.0042, logits_fake -0.0033,
Train Epoch: [1/5] Iters:[7590/20018] gen_loss 0.2188, rec_loss 0.0255, lpips_loss 0.1772, g_loss 0.0034, disc_weight 0.4000, disc_adaptive_weight 4.8199, d_loss 0.4012, logits_real -0.0046, logits_fake -0.0035,
Train Epoch: [1/5] Iters:[7600/20018] gen_loss 0.2201, rec_loss 0.0259, lpips_loss 0.1777, g_loss 0.0037, disc_weight 0.4000, disc_adaptive_weight 4.3867, d_loss 0.4012, logits_real -0.0048, logits_fake -0.0038,
Train Epoch: [1/5] Iters:[7610/20018] gen_loss 0.2205, rec_loss 0.0258, lpips_loss 0.1769, g_loss 0.0040, disc_weight 0.4000, disc_adaptive_weight 4.4183, d_loss 0.4012, logits_real -0.0050, logits_fake -0.0039,
Train Epoch: [1/5] Iters:[7620/20018] gen_loss 0.2191, rec_loss 0.0256, lpips_loss 0.1757, g_loss 0.0040, disc_weight 0.4000, disc_adaptive_weight 4.4216, d_loss 0.4012, logits_real -0.0049, logits_fake -0.0040,
Train Epoch: [1/5] Iters:[7630/20018] gen_loss 0.2193, rec_loss 0.0261, lpips_loss 0.1761, g_loss 0.0041, disc_weight 0.4000, disc_adaptive_weight 4.1769, d_loss 0.4012, logits_real -0.0050, logits_fake -0.0040,
Train Epoch: [1/5] Iters:[7640/20018] gen_loss 0.2213, rec_loss 0.0260, lpips_loss 0.1769, g_loss 0.0042, disc_weight 0.4000, disc_adaptive_weight 4.2702, d_loss 0.4011, logits_real -0.0049, logits_fake -0.0041,
Train Epoch: [1/5] Iters:[7650/20018] gen_loss 0.2229, rec_loss 0.0253, lpips_loss 0.1755, g_loss 0.0046, disc_weight 0.4000, disc_adaptive_weight 4.6687, d_loss 0.4011, logits_real -0.0052, logits_fake -0.0045,
Train Epoch: [1/5] Iters:[7660/20018] gen_loss 0.2238, rec_loss 0.0251, lpips_loss 0.1757, g_loss 0.0049, disc_weight 0.4000, disc_adaptive_weight 4.6051, d_loss 0.4011, logits_real -0.0055, logits_fake -0.0047,
Train Epoch: [1/5] Iters:[7670/20018] gen_loss 0.2258, rec_loss 0.0253, lpips_loss 0.1766, g_loss 0.0050, disc_weight 0.4000, disc_adaptive_weight 4.6257, d_loss 0.4012, logits_real -0.0057, logits_fake -0.0048,
Train Epoch: [1/5] Iters:[7680/20018] gen_loss 0.2255, rec_loss 0.0250, lpips_loss 0.1755, g_loss 0.0051, disc_weight 0.4000, disc_adaptive_weight 4.8220, d_loss 0.4011, logits_real -0.0056, logits_fake -0.0050,
Train Epoch: [1/5] Iters:[7690/20018] gen_loss 0.2237, rec_loss 0.0247, lpips_loss 0.1745, g_loss 0.0051, disc_weight 0.4000, disc_adaptive_weight 4.7365, d_loss 0.4012, logits_real -0.0059, logits_fake -0.0050,
Train Epoch: [1/5] Iters:[7700/20018] gen_loss 0.2214, rec_loss 0.0248, lpips_loss 0.1752, g_loss 0.0048, disc_weight 0.4000, disc_adaptive_weight 4.4391, d_loss 0.4012, logits_real -0.0057, logits_fake -0.0048,
Train Epoch: [1/5] Iters:[7710/20018] gen_loss 0.2210, rec_loss 0.0256, lpips_loss 0.1757, g_loss 0.0044, disc_weight 0.4000, disc_adaptive_weight 4.4971, d_loss 0.4011, logits_real -0.0055, logits_fake -0.0047,
Train Epoch: [1/5] Iters:[7720/20018] gen_loss 0.2210, rec_loss 0.0252, lpips_loss 0.1753, g_loss 0.0045, disc_weight 0.4000, disc_adaptive_weight 4.5351, d_loss 0.4012, logits_real -0.0056, logits_fake -0.0048,
Train Epoch: [1/5] Iters:[7730/20018] gen_loss 0.2207, rec_loss 0.0252, lpips_loss 0.1756, g_loss 0.0046, disc_weight 0.4000, disc_adaptive_weight 4.3283, d_loss 0.4012, logits_real -0.0057, logits_fake -0.0048,
Train Epoch: [1/5] Iters:[7740/20018] gen_loss 0.2231, rec_loss 0.0258, lpips_loss 0.1769, g_loss 0.0047, disc_weight 0.4000, disc_adaptive_weight 4.3638, d_loss 0.4011, logits_real -0.0055, logits_fake -0.0048,
Train Epoch: [1/5] Iters:[7750/20018] gen_loss 0.2254, rec_loss 0.0264, lpips_loss 0.1778, g_loss 0.0047, disc_weight 0.4000, disc_adaptive_weight 4.5982, d_loss 0.4012, logits_real -0.0055, logits_fake -0.0047,
Train Epoch: [1/5] Iters:[7760/20018] gen_loss 0.2243, rec_loss 0.0257, lpips_loss 0.1774, g_loss 0.0046, disc_weight 0.4000, disc_adaptive_weight 4.7242, d_loss 0.4012, logits_real -0.0054, logits_fake -0.0045,
Train Epoch: [1/5] Iters:[7770/20018] gen_loss 0.2220, rec_loss 0.0257, lpips_loss 0.1762, g_loss 0.0046, disc_weight 0.4000, disc_adaptive_weight 4.5355, d_loss 0.4012, logits_real -0.0054, logits_fake -0.0045,
Train Epoch: [1/5] Iters:[7780/20018] gen_loss 0.2222, rec_loss 0.0259, lpips_loss 0.1769, g_loss 0.0043, disc_weight 0.4000, disc_adaptive_weight 4.6459, d_loss 0.4012, logits_real -0.0052, logits_fake -0.0043,
Train Epoch: [1/5] Iters:[7790/20018] gen_loss 0.2197, rec_loss 0.0257, lpips_loss 0.1758, g_loss 0.0040, disc_weight 0.4000, disc_adaptive_weight 4.6422, d_loss 0.4011, logits_real -0.0048, logits_fake -0.0041,
Train Epoch: [1/5] Iters:[7800/20018] gen_loss 0.2189, rec_loss 0.0256, lpips_loss 0.1758, g_loss 0.0039, disc_weight 0.4000, disc_adaptive_weight 4.5038, d_loss 0.4012, logits_real -0.0050, logits_fake -0.0041,
Train Epoch: [1/5] Iters:[7810/20018] gen_loss 0.2188, rec_loss 0.0256, lpips_loss 0.1760, g_loss 0.0040, disc_weight 0.4000, disc_adaptive_weight 4.3793, d_loss 0.4012, logits_real -0.0051, logits_fake -0.0042,
Train Epoch: [1/5] Iters:[7820/20018] gen_loss 0.2221, rec_loss 0.0264, lpips_loss 0.1779, g_loss 0.0037, disc_weight 0.4000, disc_adaptive_weight 4.8774, d_loss 0.4012, logits_real -0.0049, logits_fake -0.0038,
Train Epoch: [1/5] Iters:[7830/20018] gen_loss 0.2200, rec_loss 0.0257, lpips_loss 0.1759, g_loss 0.0037, disc_weight 0.4000, disc_adaptive_weight 4.9516, d_loss 0.4012, logits_real -0.0049, logits_fake -0.0038,
Train Epoch: [1/5] Iters:[7840/20018] gen_loss 0.2192, rec_loss 0.0256, lpips_loss 0.1756, g_loss 0.0035, disc_weight 0.4000, disc_adaptive_weight 5.2759, d_loss 0.4013, logits_real -0.0049, logits_fake -0.0035,
Train Epoch: [1/5] Iters:[7850/20018] gen_loss 0.2174, rec_loss 0.0259, lpips_loss 0.1750, g_loss 0.0031, disc_weight 0.4000, disc_adaptive_weight 5.3898, d_loss 0.4012, logits_real -0.0043, logits_fake -0.0032,
Train Epoch: [1/5] Iters:[7860/20018] gen_loss 0.2169, rec_loss 0.0264, lpips_loss 0.1756, g_loss 0.0028, disc_weight 0.4000, disc_adaptive_weight 5.3247, d_loss 0.4012, logits_real -0.0037, logits_fake -0.0026,
Train Epoch: [1/5] Iters:[7870/20018] gen_loss 0.2126, rec_loss 0.0256, lpips_loss 0.1751, g_loss 0.0024, disc_weight 0.4000, disc_adaptive_weight 5.0367, d_loss 0.4011, logits_real -0.0032, logits_fake -0.0024,
Train Epoch: [1/5] Iters:[7880/20018] gen_loss 0.2135, rec_loss 0.0261, lpips_loss 0.1765, g_loss 0.0023, disc_weight 0.4000, disc_adaptive_weight 4.9175, d_loss 0.4011, logits_real -0.0029, logits_fake -0.0021,
